order_id,client_id,order_date,order_amount,product,quantity,payment_type
5001,73,2025-07-29,1431,Ноутбук,2,cash
5002,48,2024-11-30,972,Монитор,3,cash
5003,92,2025-10-17,4919,Смартфон,1,cash
5004,33,2025-04-16,3226,Клавиатура,3,bank_transfer
5005,25,2025-05-06,3431,Клавиатура,3,cash
5006,77,2025-10-19,1812,Ноутбук,2,card
5007,20,2025-09-23,3456,Мышь,1,cash
5008,80,2025-08-11,3957,Смартфон,1,card
5009,10,2025-01-22,2306,Ноутбук,1,bank_transfer
5010,73,2025-03-23,2757,Смартфон,2,card
5011,63,2025-08-04,3496,Планшет,2,card
5012,71,2025-05-31,4296,Смартфон,2,cash
5013,62,2025-01-22,2980,Монитор,2,bank_transfer
5014,62,2025-07-11,3390,Ноутбук,1,card
5015,90,2025-01-30,4392,Ноутбук,3,cash
5016,39,2025-09-21,4606,Клавиатура,3,card
5017,15,2025-06-02,1132,Ноутбук,3,cash
5018,15,2025-08-26,2992,Смартфон,3,cash
5019,98,2025-02-06,2006,Монитор,2,card
5020,50,2025-09-30,3511,Монитор,1,card
5021,26,2025-03-13,2968,Клавиатура,3,card
5022,77,2024-12-29,1101,Планшет,3,cash
5023,55,2025-03-14,3720,Ноутбук,3,bank_transfer
5024,36,2025-02-10,4836,Клавиатура,2,cash
5025,67,2025-10-14,2407,Клавиатура,3,bank_transfer
5026,50,2025-08-17,3084,Смартфон,2,bank_transfer
5027,17,2024-11-04,1328,Смартфон,1,card
5028,40,2025-01-22,2846,Клавиатура,3,cash
5029,16,2025-09-13,2657,Мышь,3,cash
5030,12,2024-12-04,2653,Ноутбук,1,bank_transfer
5031,57,2025-03-20,4573,Ноутбук,1,bank_transfer
5032,85,2024-12-03,1104,Мышь,2,bank_transfer
5033,28,2025-08-24,925,Планшет,2,bank_transfer
5034,16,2025-02-20,4330,Клавиатура,3,card
5035,44,2025-03-05,1566,Ноутбук,2,card
5036,46,2024-12-13,803,Мышь,3,card
5037,13,2025-06-04,3939,Ноутбук,2,cash
5038,56,2024-10-25,4561,Монитор,3,bank_transfer
5039,8,2025-08-27,4497,Мышь,1,card
5040,32,2025-09-22,4753,Монитор,1,card
5041,36,2025-03-29,2055,Монитор,3,cash
5042,80,2025-08-20,1041,Ноутбук,3,card
5043,74,2025-10-07,1284,Мышь,3,bank_transfer
5044,50,2025-07-31,3071,Монитор,2,cash
5045,28,2025-04-03,4945,Смартфон,1,cash
5046,27,2025-05-21,3149,Ноутбук,3,bank_transfer
